canonical_class,support,phase2b_precision,phase2b_recall,phase2b_f1,phase3b_precision,phase3b_recall,phase3b_f1,delta_f1,delta_f1_pct
Healthy,237,0.9262,0.9536,0.9397,0.9283,0.9565,0.9422,0.0025000000000000577,0.26604235394275383
Blast,199,0.8565,0.8995,0.8775,0.8794,0.8621,0.8706,-0.006899999999999906,-0.7863247863247756
Brown Spot,327,0.9215,0.8257,0.871,0.8257,0.8464,0.8359,-0.03510000000000002,-4.029850746268659
Leaf Smut,109,0.7565,0.7982,0.7768,0.7156,0.7573,0.7358,-0.041000000000000036,-5.278063851699284
Tungro,337,0.8939,0.9496,0.9209,0.9318,0.9075,0.9195,-0.0014000000000000679,-0.15202519274623388
Sheath Blight,258,0.9677,0.9302,0.9486,0.9612,0.9323,0.9466,-0.0020000000000000018,-0.21083702298123572
