Comparison,Metric,Baseline_Val,Model_Val,Absolute_Diff,Relative_Change_Pct,Effect_Size
Phase 2B vs Phase 3B,Test Accuracy,0.9012,0.8896,-0.0116,-1.29,Descriptive (-1.16%)
Phase 2B vs Phase 3B,Test Macro F1,0.8891,0.8751,-0.014,-1.57,Descriptive (-0.0140)
Phase 3 vs Phase 3B,Localization Precision,0.0223,0.0887,0.0664,297.76,Large (+298%)
Phase 3 vs Phase 3B,Healthy FP Rate,0.2152,0.1097,-0.1055,-49.02,Large (-49.0%)
Phase 3 vs Phase 3B,Avg Boxes / Image,8.81,2.24,-6.57,-74.57,Large (-74.6%)
Phase 2B vs Phase 3B (RiceSeg),Pointing Game (Mutually Correct),0.3679,0.3821,0.0143,3.89,Small (+1.43%)
Phase 2B vs Phase 3B (RiceSeg),Deletion AUC,0.1387,0.1367,-0.002,-1.44,Small (-1.44%)
Phase 2B vs Phase 3B (Healthy),Border Attention Ratio,0.185,0.092,-0.093,-50.27,Large (-50.3%)
