class_name,sample_count,phase2b_acc,phase3b_acc,phase2b_energy_in_mean,phase2b_energy_in_median,phase3b_energy_in_mean,phase3b_energy_in_median,energy_in_diff,phase2b_iou_mean,phase3b_iou_mean,iou_diff,phase2b_pointing_acc,phase3b_pointing_acc,pointing_diff
Blast,1440.0,0.3590277777777778,0.2569444444444444,0.11589369935074346,0.0956265902331058,0.09706959987324972,0.07587071307981325,-0.01882409947749375,0.11442400408631179,0.1076680816378422,-0.006755922448469592,0.2625,0.25555555555555554,-0.006944444444444475
Brown Spot,1600.0,0.060625,0.034375,0.08607880483809961,0.0614437582327328,0.04943927498306654,0.0347932816378026,-0.03663952985503307,0.06227337024715629,0.050316649708387534,-0.011956720538768756,0.41,0.274375,-0.135625
Tungro,1308.0,0.3409785932721712,0.03287461773700306,0.08757552729419525,0.0700671835912348,0.05903777562702158,0.04488982043450495,-0.02853775166717367,0.08495109567594117,0.0605242763626214,-0.02442681931331977,0.1926605504587156,0.09327217125382263,-0.09938837920489298
