stratum,sample_count,phase2b_energy_in_mean,phase2b_energy_in_ci,phase3b_energy_in_mean,phase3b_energy_in_ci,energy_in_gain,energy_in_wilcoxon_p,phase2b_iou_mean,phase3b_iou_mean,iou_gain,iou_wilcoxon_p,phase2b_pointing_acc,phase3b_pointing_acc,pointing_gain,pointing_mcnemar_p
all_samples,4348,0.0964033589022165,"[0.0939, 0.0989]",0.06810130503922039,"[0.0661, 0.0701]",-0.028302053862996113,5.117083646810562e-285,0.08636706334495632,0.07238142377511995,-0.013985639569836367,9.593654835316958e-95,0.2957681692732291,0.21366145354185834,-0.08210671573137074,0.0
correct_2b_only,1060,0.11156663829589064,"[0.1075, 0.1157]",0.06313796094800679,"[0.0602, 0.0660]",-0.04842867734788385,1.025889428616255e-146,0.10327108638779553,0.0691247299636078,-0.03414635642418773,1.4585979393289071e-95,0.3150943396226415,0.18490566037735848,-0.13018867924528302,2.55351295663786e-15
correct_3b_only,468,0.10248986414854483,"[0.0949, 0.1101]",0.08955990862876174,"[0.0838, 0.0953]",-0.012929955519783085,8.26497548570644e-18,0.0954351233507636,0.09239583904173548,-0.003039284309028112,0.023301575767994465,0.3269230769230769,0.36324786324786323,0.03632478632478631,0.1589175496852293
correct_both,280,0.09732776765903914,"[0.0902, 0.1044]",0.08133503430786683,"[0.0753, 0.0874]",-0.01599273335117231,7.883879281990444e-36,0.09214271498669319,0.08639869850477577,-0.005744016481917413,3.2318535093961354e-06,0.3678571428571429,0.3821428571428571,0.014285714285714235,0.6936406217837585
incorrect_any,4068,0.0963397319474696,"[0.0937, 0.0990]",0.06719042888503628,"[0.0651, 0.0693]",-0.029149303062433324,2.206309073873033e-258,0.08596952586715732,0.07141661627160382,-0.014552909595553498,7.777684906962093e-90,0.2908062930186824,0.20206489675516223,-0.08874139626352015,0.0
