,precision,recall,f1-score,support
Healthy,0.9262295081967213,0.9535864978902954,0.9397089397089398,237.0
Blast,0.8564593301435407,0.8994974874371859,0.8774509803921569,199.0
Brown Spot,0.9215017064846417,0.8256880733944955,0.8709677419354839,327.0
Leaf Smut,0.7565217391304347,0.7981651376146789,0.7767857142857143,109.0
Tungro,0.8938547486033519,0.9495548961424333,0.920863309352518,337.0
Sheath Blight,0.967741935483871,0.9302325581395349,0.9486166007905138,258.0
accuracy,0.9011588275391956,0.9011588275391956,0.9011588275391956,0.9011588275391956
macro avg,0.8870514946737602,0.8927874417697707,0.8890655477442211,1467.0
weighted avg,0.9029653697076014,0.9011588275391956,0.9010728538069905,1467.0
