,precision,recall,f1-score,support
Healthy,0.9149797570850202,0.9535864978902954,0.9338842975206612,237.0
Blast,0.8061674008810573,0.9195979899497487,0.8591549295774648,199.0
Brown Spot,0.8664383561643836,0.7737003058103975,0.8174474959612278,327.0
Leaf Smut,0.7064220183486238,0.7064220183486238,0.7064220183486238,109.0
Tungro,0.9136904761904762,0.9109792284866469,0.912332838038633,337.0
Sheath Blight,0.96484375,0.9573643410852714,0.9610894941634242,258.0
accuracy,0.8813905930470347,0.8813905930470347,0.8813905930470347,0.8813905930470347
macro avg,0.8620902931115935,0.8702750635951638,0.8650551789350058,1467.0
weighted avg,0.8823764387501187,0.8813905930470347,0.880725969046228,1467.0
