,precision,recall,f1-score,support
Healthy,0.9491525423728814,0.9451476793248945,0.9471458773784355,237.0
Blast,0.8509615384615384,0.8894472361809045,0.8697788697788698,199.0
Brown Spot,0.8885017421602788,0.7798165137614679,0.8306188925081434,327.0
Leaf Smut,0.656934306569343,0.8256880733944955,0.7317073170731707,109.0
Tungro,0.8857142857142857,0.9198813056379822,0.9024745269286754,337.0
Sheath Blight,0.9718875502008032,0.937984496124031,0.9546351084812623,258.0
accuracy,0.8847989093387867,0.8847989093387867,0.8847989093387867,0.8847989093387867
macro avg,0.8671919942465216,0.8829942174039624,0.8727267653580929,1467.0
weighted avg,0.8900266598747171,0.8847989093387867,0.8857244832985357,1467.0
