epoch,train_loss,val_loss,train_acc,val_acc,train_macro_f1,val_macro_f1,lr,gpu_memory_allocated_mb,gpu_memory_peak_mb,gpu_memory_reserved_mb
1,0.9976382065154106,0.5827649451784294,0.636,0.7918,0.5878,0.7601,0.0001,444.24,601.2,660.0
2,0.649949458793745,0.5121224721786789,0.7704,0.8218,0.7438,0.8015,9.623203685930869e-05,444.24,601.2,660.0
3,0.5131343742098327,0.4693441068295637,0.8211,0.8389,0.7981,0.817,8.55017856687341e-05,444.24,601.2,660.0
4,0.4355099222648557,0.48639808981365495,0.8457,0.8369,0.8257,0.8082,6.944282990207195e-05,444.24,601.2,660.0
5,0.3607147110995797,0.42160799641514823,0.8716,0.858,0.8581,0.8423,5.05e-05,444.24,601.2,660.0
6,0.27520813555924606,0.41915514274499216,0.9071,0.8614,0.8945,0.8438,3.1557170097928055e-05,444.24,601.2,660.0
7,0.22441519417399391,0.3847011547928212,0.9253,0.8805,0.9167,0.8621,1.54982143312659e-05,444.24,601.2,660.0
8,0.194049639469597,0.38205794738707927,0.9313,0.8805,0.9245,0.8642,4.767963140691306e-06,444.24,601.2,660.0
