epoch,train_loss,train_loss_cls,train_loss_loc,train_loss_obj,train_loss_box,train_acc,train_macro_f1,val_loss,val_loss_cls,val_loss_loc,val_loss_obj,val_loss_box,val_acc,val_macro_f1,val_loc_precision,val_loc_recall,val_loc_f1,val_loc_mean_iou,val_healthy_fpr,lr,epoch_time_s
1,1.3065,1.0486,1.0318,0.882,0.1498,0.6118,0.5373,0.8126,0.5916,0.884,0.7676,0.1163,0.7863,0.7164,0.015,0.0757,0.025,0.6029,0.3038,0.0001,487.21
2,0.8036,0.5871,0.8657,0.7431,0.1226,0.7911,0.7579,0.6325,0.4297,0.8112,0.7034,0.1078,0.8573,0.8296,0.0186,0.0861,0.0306,0.5963,0.2954,9.99e-05,557.2
3,0.621,0.4206,0.8016,0.6861,0.1154,0.8568,0.8384,0.602,0.4043,0.7908,0.6872,0.1037,0.8676,0.848,0.0199,0.1026,0.0333,0.6018,0.4515,9.961e-05,481.36
4,0.5083,0.3181,0.7605,0.65,0.1106,0.8913,0.8799,0.5928,0.4046,0.7527,0.6494,0.1032,0.8792,0.8598,0.0229,0.0921,0.0366,0.5992,0.2574,9.912e-05,356.65
5,0.4278,0.2466,0.7249,0.6173,0.1076,0.9158,0.9059,0.6348,0.4489,0.7438,0.6444,0.0994,0.8703,0.8499,0.023,0.1026,0.0376,0.6025,0.27,9.844e-05,363.93
6,0.361,0.1885,0.69,0.5859,0.1041,0.9364,0.9299,0.6632,0.4787,0.738,0.6386,0.0994,0.8744,0.8525,0.0242,0.1035,0.0392,0.6043,0.2658,9.758e-05,355.65
7,0.3275,0.1612,0.6652,0.5637,0.1015,0.9454,0.9416,0.6801,0.4995,0.7222,0.625,0.0971,0.8737,0.8533,0.0262,0.1153,0.0426,0.6073,0.3586,9.652e-05,360.79
8,0.2796,0.1211,0.634,0.5352,0.0989,0.9614,0.9581,0.6862,0.5054,0.7233,0.6276,0.0957,0.8812,0.86,0.0269,0.114,0.0436,0.612,0.2743,9.529e-05,325.33
9,0.2492,0.0999,0.5973,0.5005,0.0969,0.9655,0.9627,0.7913,0.6104,0.7234,0.6251,0.0983,0.8799,0.8607,0.0273,0.1064,0.0434,0.6046,0.2743,9.388e-05,307.52
